Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
COLORADO,2021,16,,-,0,,,-,,-,,-,3,,5,,43,,,-,1,,,-,2,,COLORADO,,20211650,POINT (-105.547832 38.998552)
VERMONT,2021,16,,-,0,,,-,,-,,-,2,,4,,1,,,-,1,,1,,,-,VERMONT,,20211608,POINT (-72.662695 44.075252)
KENTUCKY,2021,16,,-,1,,,-,1,,,-,4,,18,,19,,,-,7,,34,,48,,KENTUCKY,,20211640,POINT (-85.290484 37.526683)
PUERTO RICO,2021,16,,N,,NC,,N,,N,,-,0,,,-,10,,,-,0,,,-,,-,PUERTO RICO,,20211667,POINT (-66.414655 18.215692)
MAINE,2021,16,,-,0,,,-,,-,,-,12,,20,,12,,,-,4,,15,,14,,MAINE,,20211604,POINT (-69.06137 45.117911)
VIRGINIA,2021,16,,-,1,,2,,,-,,-,9,,19,,92,,,-,5,,6,,9,,VIRGINIA,,20211636,POINT (-78.666382 37.510861)
ARIZONA,2021,16,,-,1,,2,,2,,,-,3,,6,,28,,,-,2,,2,,5,,ARIZONA,,20211649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,16,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211664,
WISCONSIN,2021,16,,-,1,,1,,,-,,-,2,,1,,4,,1,,2,,4,,3,,WISCONSIN,,20211619,POINT (-89.732969 44.639954)
IDAHO,2021,16,,-,0,,,-,,-,,-,1,,,-,3,,,-,0,,,-,,-,IDAHO,,20211651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,16,,-,0,,,-,,-,,-,0,,,-,1,,,-,4,,,-,2,,VIRGIN ISLANDS,,20211668,POINT (-64.840836 18.060868)
MICHIGAN,2021,16,,-,1,,,-,2,,,-,2,,2,,6,,,-,3,,10,,19,,MICHIGAN,,20211617,POINT (-85.730977 44.874798)
GEORGIA,2021,16,,-,1,,,-,2,,,-,19,,134,,175,,,-,5,,21,,36,,GEORGIA,,20211632,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,16,,-,0,,,-,,-,,-,6,,24,,26,,,-,3,,12,,11,,,NEW YORK CITY,20211612,
ARKANSAS,2021,16,,-,1,,3,,1,,9,,32,,221,,57,,1,,4,,13,,17,,ARKANSAS,,20211644,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,16,,-,0,,,-,,-,2,,13,,83,,108,,,-,2,,1,,18,,MISSISSIPPI,,20211641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,16,,-,0,,,-,,-,,-,0,,,-,1,,,-,2,,2,,,-,SOUTH DAKOTA,,20211627,POINT (-100.230491 44.43614)
